excel_row,task_key,status,error_code,error_message
4,b92f4e094de30eb89aef14698bbf688cb0c6bda49886ae82ab465c30317f1189,terminal_error,semantic_validation_failed,keywords.not_in_comment: A direct-match term does not occur verbatim in `conversation_text`
10,b91fd316e1395d87e8ef9c88e31370a4f7cb7de584d9dfe73a2c84eede8ff5df,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
27,553bf1c763ec392237211a0d01e6d62499da66cc43535ee9e8941e25310ad1a4,terminal_error,semantic_validation_failed,keywords.not_in_comment: A direct-match term does not occur verbatim in `conversation_text`; keywords.not_in_comment: A direct-match term does not occur verbatim in `conversation_text`
30,56dab4e6c13d70501396328fceb2f5ba195ee8dd9ade0e19c0ea88606eb09eeb,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
51,628b39b06fd577f00490bab047c24574a66d4784361427905245639c8a7c3a67,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
99,40000f6278a08f1be73de6c00d612972316363dfab815bf2b6dc8722a81c7a50,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
109,c4a91dea119897ca814cdafaa45e54bc20eb052838a866f428605795d9a2bac9,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
116,57ac1d77de36c1a4244ceeca38259123b3ef6de8a53c2c0bcab302ff8ad9d9de,terminal_error,semantic_validation_failed,keywords.not_in_comment: A direct-match term does not occur verbatim in `conversation_text`
123,86062735ce9c92233704bcc91c7c9e92d24c5f2e4d64fca5dd376384385c747d,terminal_error,semantic_validation_failed,keywords.not_in_comment: A direct-match term does not occur verbatim in `conversation_text`
142,9f0aed3f198c4b3584b562332afc5d74f7be6d65af5d574d12dd5f8e5caf5f7c,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
148,fd4c9bf4e371e9162077298403ac2505e45af982fdbc8a5f41bbb6ff27b97156,terminal_error,semantic_validation_failed,keywords.not_in_comment: A direct-match term does not occur verbatim in `conversation_text`
158,09cd3cedaefd9bcda550c5538f313bd0de40c3d18b7aa27df1e2297bc74d9f72,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
164,53f3693b856aa9d74da357ef9e0ac7cc2b0e2039b169e1513c5ab9c4d47e1358,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
170,91f85bee47a31c6ece69ef054f2091adaacf12d588887e836e640a7c4db3702b,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
171,ce8ec6a665f0a43351cd1ac546a0c32fd4b0d2b036bebc830398eccc7e753278,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
189,545653c4af1564dab753908c1eafc2921d499612de5a3ce6861e877aa2a2d495,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
208,21246e44d5837377957083de0570fbe8c9bff1506c08fd487de1cdea42f75cb5,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
211,d4e418477226eef57da0a9694b19dd01ea3fc556b27080a336e1fd4fb9e9cf89,terminal_error,repeated_invalid_response,Repeated identical invalid response; stopping semantic retries early
214,c5026a388404225695843c108061ce396061f141769f8b76c8e3a5464947e3f0,terminal_error,semantic_validation_failed,keywords.not_in_comment: A direct-match term does not occur verbatim in `conversation_text`
