topic,row_count,success_count,error_count,error_rate,llm_keep_count,llm_keep_rate,has_stance_count,has_stance_rate,medium_high_discussion_count,medium_high_discussion_rate,strongly_relevant_count,relevant_count,weak_keyword_match_count,off_topic_count,insufficient_context_count
政府是否应保护堕胎服务的可及性？,155,151,4,0.0258,100,0.6452,100,0.6452,140,0.9032,127,23,0,0,1
是否应提供带薪家庭假和育儿假？,192,182,10,0.0521,83,0.4323,83,0.4323,135,0.7031,137,44,0,0,1
是否应加强警察问责并限制 qualified immunity？,139,138,1,0.0072,82,0.5899,82,0.5899,127,0.9137,117,20,1,0,0
是否应提高联邦最低工资？,121,118,3,0.0248,66,0.5455,66,0.5455,97,0.8017,84,34,0,0,0
美国是否应加强移民执法和庇护限制？,107,100,7,0.0654,55,0.514,55,0.514,95,0.8879,83,17,0,0,0
大学生是否应更容易获得 SNAP 食品援助？,183,178,5,0.0273,54,0.2951,54,0.2951,120,0.6557,114,38,25,0,1
是否应扩大免费学校餐？,119,118,1,0.0084,53,0.4454,53,0.4454,94,0.7899,89,28,1,0,0
美国是否应扩大可负担住房供给？,134,128,6,0.0448,53,0.3955,53,0.3955,99,0.7388,88,40,0,0,0
医疗债务是否不应影响个人信用记录？,121,120,1,0.0083,52,0.4298,52,0.4298,91,0.7521,94,24,1,0,1
是否应恢复或强化网络中立性规则？,112,105,7,0.0625,51,0.4554,51,0.4554,79,0.7054,90,13,1,0,1
是否应延续或扩大医保保费补贴？,106,103,3,0.0283,47,0.4434,47,0.4434,86,0.8113,77,22,3,0,1
美国是否应扩大液化天然气 LNG 出口？,116,115,1,0.0086,47,0.4052,47,0.4052,84,0.7241,65,49,1,0,0
小费收入是否应免税？,73,72,1,0.0137,44,0.6027,44,0.6027,72,0.9863,59,13,0,0,0
美国是否应征收或避免征收碳税？,110,108,2,0.0182,44,0.4,44,0.4,96,0.8727,74,34,0,0,0
IVF 等辅助生殖治疗是否应获得更多公共支持？,164,162,2,0.0122,43,0.2622,43,0.2622,62,0.378,87,22,53,0,0
数据经纪商是否应被禁止出售敏感个人数据？,109,105,4,0.0367,41,0.3761,41,0.3761,64,0.5872,86,9,10,0,0
美国是否应对芬太尼采取更严格管制和刑事打击？,86,83,3,0.0349,40,0.4651,40,0.4651,61,0.7093,69,7,7,0,0
高校是否应为高学费和学生债务承担更多责任？,89,84,5,0.0562,37,0.4157,37,0.4157,69,0.7753,62,22,0,0,0
AI 语音诈骗是否应强制披露或限制？,137,136,1,0.0073,35,0.2555,35,0.2555,58,0.4234,71,4,61,0,0
信用卡滞纳金是否应被限制？,70,70,0,0.0,34,0.4857,34,0.4857,64,0.9143,58,9,3,0,0
避孕服务是否应免除自付费用？,82,81,1,0.0122,34,0.4146,34,0.4146,66,0.8049,57,17,6,0,1
美国是否应加强边境技术和监控？,106,106,0,0.0,33,0.3113,33,0.3113,73,0.6887,84,7,14,0,1
平台是否应强制移除非自愿 AI 伪造私密影像？,75,74,1,0.0133,32,0.4267,32,0.4267,67,0.8933,67,5,2,0,0
政府是否应补贴家庭净水设备以应对 PFAS 等污染？,169,164,5,0.0296,32,0.1893,32,0.1893,98,0.5799,109,31,20,0,4
跨性别运动员是否应参加女子体育项目？,61,57,4,0.0656,32,0.5246,32,0.5246,50,0.8197,53,0,4,0,0
政府是否应进一步压低处方药价格？,96,91,5,0.0521,31,0.3229,31,0.3229,78,0.8125,62,23,6,0,0
政府是否应扩大纳洛酮等阿片过量急救药的获取？,148,146,2,0.0135,27,0.1824,27,0.1824,101,0.6824,96,45,5,0,0
平台是否应承担更严格的儿童网络安全保护责任？,73,72,1,0.0137,27,0.3699,27,0.3699,46,0.6301,62,5,0,0,5
是否应扩大心理健康服务可及性？,55,53,2,0.0364,26,0.4727,26,0.4727,37,0.6727,44,8,1,0,0
演唱会和体育赛事门票是否应强制显示全价？,43,41,2,0.0465,26,0.6047,26,0.6047,28,0.6512,31,2,0,0,8
是否应扩大儿童税收抵免或改成按月发放？,64,64,0,0.0,16,0.25,16,0.25,37,0.5781,39,25,0,0,0
政府是否应补贴儿童照护费用？,53,52,1,0.0189,14,0.2642,14,0.2642,33,0.6226,37,10,4,0,1
枪支遗失或被盗后是否应强制上报？,50,49,1,0.02,10,0.2,11,0.22,29,0.58,39,7,3,0,0
是否应延续低收入家庭宽带补贴？,59,59,0,0.0,9,0.1525,9,0.1525,35,0.5932,43,15,1,0,0
是否应继续补贴 EV 充电基础设施？,26,25,1,0.0385,7,0.2692,7,0.2692,17,0.6538,22,3,0,0,0
气候变化是否应作为公共健康问题治理？,16,16,0,0.0,6,0.375,6,0.375,14,0.875,10,6,0,0,0
是否应要求更严格的枪支安全存储？,9,9,0,0.0,2,0.2222,2,0.2222,8,0.8889,7,2,0,0,0
