topic,row_count,success_count,error_count,error_rate,llm_keep_count,llm_keep_rate,has_stance_count,has_stance_rate,medium_high_discussion_count,medium_high_discussion_rate,strongly_relevant_count,relevant_count,weak_keyword_match_count,off_topic_count,insufficient_context_count
政府是否应保护堕胎服务的可及性？,155,152,3,0.0194,91,0.5871,91,0.5871,144,0.929,131,19,0,0,2
是否应提高联邦最低工资？,123,121,2,0.0163,73,0.5935,73,0.5935,107,0.8699,95,26,0,0,0
是否应提供带薪家庭假和育儿假？,193,192,1,0.0052,71,0.3679,71,0.3679,145,0.7513,141,51,0,0,0
是否应加强警察问责并限制 qualified immunity？,138,135,3,0.0217,68,0.4928,68,0.4928,115,0.8333,103,27,5,0,0
大学生是否应更容易获得 SNAP 食品援助？,183,183,0,0.0,61,0.3333,61,0.3333,123,0.6721,116,44,20,0,3
是否应扩大免费学校餐？,118,115,3,0.0254,56,0.4746,56,0.4746,97,0.822,78,36,0,0,1
美国是否应扩大可负担住房供给？,135,135,0,0.0,56,0.4148,56,0.4148,105,0.7778,95,39,0,0,1
是否应恢复或强化网络中立性规则？,112,111,1,0.0089,54,0.4821,54,0.4821,82,0.7321,95,12,3,0,1
美国是否应加强移民执法和庇护限制？,106,100,6,0.0566,52,0.4906,52,0.4906,89,0.8396,91,9,0,0,0
医疗债务是否不应影响个人信用记录？,123,123,0,0.0,48,0.3902,48,0.3902,98,0.7967,90,32,1,0,0
小费收入是否应免税？,72,72,0,0.0,48,0.6667,48,0.6667,67,0.9306,67,5,0,0,0
美国是否应征收或避免征收碳税？,108,104,4,0.037,47,0.4352,47,0.4352,90,0.8333,68,36,0,0,0
是否应延续或扩大医保保费补贴？,105,105,0,0.0,46,0.4381,46,0.4381,90,0.8571,79,24,1,0,1
政府是否应补贴家庭净水设备以应对 PFAS 等污染？,169,167,2,0.0118,43,0.2544,43,0.2544,104,0.6154,117,33,16,0,1
美国是否应对芬太尼采取更严格管制和刑事打击？,87,86,1,0.0115,43,0.4943,43,0.4943,68,0.7816,69,11,6,0,0
信用卡滞纳金是否应被限制？,70,67,3,0.0429,42,0.6,42,0.6,61,0.8714,60,6,1,0,0
美国是否应扩大液化天然气 LNG 出口？,117,116,1,0.0085,41,0.3504,41,0.3504,87,0.7436,58,55,1,0,2
高校是否应为高学费和学生债务承担更多责任？,89,86,3,0.0337,41,0.4607,41,0.4607,71,0.7978,64,20,1,0,1
数据经纪商是否应被禁止出售敏感个人数据？,110,108,2,0.0182,38,0.3455,38,0.3455,66,0.6,78,18,10,0,2
避孕服务是否应免除自付费用？,83,83,0,0.0,37,0.4458,37,0.4458,59,0.7108,56,20,7,0,0
AI 语音诈骗是否应强制披露或限制？,134,131,3,0.0224,36,0.2687,36,0.2687,67,0.5,82,7,42,0,0
政府是否应进一步压低处方药价格？,97,97,0,0.0,36,0.3711,36,0.3711,86,0.8866,74,20,3,0,0
美国是否应加强边境技术和监控？,110,109,1,0.0091,36,0.3273,36,0.3273,71,0.6455,79,12,18,0,0
IVF 等辅助生殖治疗是否应获得更多公共支持？,167,165,2,0.012,30,0.1796,30,0.1796,56,0.3353,94,22,49,0,0
平台是否应强制移除非自愿 AI 伪造私密影像？,74,72,2,0.027,29,0.3919,29,0.3919,62,0.8378,64,5,3,0,0
是否应扩大心理健康服务可及性？,55,55,0,0.0,29,0.5273,29,0.5273,45,0.8182,48,7,0,0,0
跨性别运动员是否应参加女子体育项目？,60,60,0,0.0,28,0.4667,28,0.4667,51,0.85,51,3,6,0,0
平台是否应承担更严格的儿童网络安全保护责任？,73,71,2,0.0274,25,0.3425,25,0.3425,38,0.5205,66,4,0,0,1
政府是否应扩大纳洛酮等阿片过量急救药的获取？,146,144,2,0.0137,24,0.1644,24,0.1644,100,0.6849,90,53,1,0,0
演唱会和体育赛事门票是否应强制显示全价？,43,42,1,0.0233,20,0.4651,20,0.4651,23,0.5349,29,1,1,0,11
政府是否应补贴儿童照护费用？,53,52,1,0.0189,14,0.2642,14,0.2642,43,0.8113,32,18,2,0,0
是否应扩大儿童税收抵免或改成按月发放？,59,56,3,0.0508,14,0.2373,14,0.2373,28,0.4746,35,21,0,0,0
枪支遗失或被盗后是否应强制上报？,50,49,1,0.02,9,0.18,9,0.18,28,0.56,42,3,4,0,0
气候变化是否应作为公共健康问题治理？,15,15,0,0.0,7,0.4667,7,0.4667,15,1.0,11,4,0,0,0
是否应延续低收入家庭宽带补贴？,59,55,4,0.0678,6,0.1017,6,0.1017,29,0.4915,41,8,3,0,3
是否应继续补贴 EV 充电基础设施？,26,26,0,0.0,6,0.2308,6,0.2308,21,0.8077,22,4,0,0,0
是否应要求更严格的枪支安全存储？,10,10,0,0.0,2,0.2,2,0.2,7,0.7,6,4,0,0,0
