topic,row_count,success_count,error_count,error_rate,llm_keep_count,llm_keep_rate,has_stance_count,has_stance_rate,medium_high_discussion_count,medium_high_discussion_rate,strongly_relevant_count,relevant_count,weak_keyword_match_count,off_topic_count,insufficient_context_count
政府是否应保护堕胎服务的可及性？,156,152,4,0.0256,97,0.6218,97,0.6218,143,0.9167,123,26,0,0,3
是否应提供带薪家庭假和育儿假？,195,194,1,0.0051,85,0.4359,85,0.4359,142,0.7282,152,41,1,0,0
是否应提高联邦最低工资？,123,123,0,0.0,78,0.6341,78,0.6341,119,0.9675,93,30,0,0,0
是否应加强警察问责并限制 qualified immunity？,138,135,3,0.0217,68,0.4928,68,0.4928,119,0.8623,106,23,6,0,0
大学生是否应更容易获得 SNAP 食品援助？,184,182,2,0.0109,60,0.3261,60,0.3261,120,0.6522,109,45,25,0,3
是否应扩大免费学校餐？,119,118,1,0.0084,60,0.5042,60,0.5042,101,0.8487,83,35,0,0,0
是否应恢复或强化网络中立性规则？,112,109,3,0.0268,59,0.5268,59,0.5268,81,0.7232,97,9,3,0,0
美国是否应扩大可负担住房供给？,135,134,1,0.0074,55,0.4074,55,0.4074,104,0.7704,89,45,0,0,0
美国是否应加强移民执法和庇护限制？,106,103,3,0.0283,55,0.5189,55,0.5189,92,0.8679,93,10,0,0,0
小费收入是否应免税？,73,71,2,0.0274,54,0.7397,54,0.7397,69,0.9452,64,7,0,0,0
医疗债务是否不应影响个人信用记录？,123,118,5,0.0407,52,0.4228,52,0.4228,93,0.7561,99,18,1,0,0
美国是否应扩大液化天然气 LNG 出口？,115,113,2,0.0174,44,0.3826,44,0.3826,84,0.7304,62,50,0,0,1
美国是否应对芬太尼采取更严格管制和刑事打击？,87,85,2,0.023,43,0.4943,43,0.4943,71,0.8161,72,10,3,0,0
信用卡滞纳金是否应被限制？,70,68,2,0.0286,42,0.6,42,0.6,66,0.9429,61,6,1,0,0
美国是否应征收或避免征收碳税？,107,100,7,0.0654,42,0.3925,42,0.3925,86,0.8037,63,37,0,0,0
数据经纪商是否应被禁止出售敏感个人数据？,110,107,3,0.0273,41,0.3727,41,0.3727,71,0.6455,72,21,12,0,2
美国是否应加强边境技术和监控？,108,108,0,0.0,39,0.3611,39,0.3611,78,0.7222,81,10,15,0,2
高校是否应为高学费和学生债务承担更多责任？,92,90,2,0.0217,38,0.413,38,0.413,70,0.7609,68,22,0,0,0
是否应延续或扩大医保保费补贴？,103,98,5,0.0485,34,0.3301,34,0.3301,82,0.7961,70,22,6,0,0
避孕服务是否应免除自付费用？,81,79,2,0.0247,34,0.4198,34,0.4198,61,0.7531,57,19,3,0,0
政府是否应扩大纳洛酮等阿片过量急救药的获取？,147,146,1,0.0068,33,0.2245,33,0.2245,102,0.6939,95,47,4,0,0
AI 语音诈骗是否应强制披露或限制？,133,131,2,0.015,31,0.2331,32,0.2406,63,0.4737,75,3,53,0,0
政府是否应进一步压低处方药价格？,98,98,0,0.0,31,0.3163,31,0.3163,91,0.9286,69,25,4,0,0
平台是否应强制移除非自愿 AI 伪造私密影像？,75,75,0,0.0,29,0.3867,29,0.3867,59,0.7867,65,6,4,0,0
政府是否应补贴家庭净水设备以应对 PFAS 等污染？,167,164,3,0.018,28,0.1677,28,0.1677,91,0.5449,113,29,21,0,1
跨性别运动员是否应参加女子体育项目？,62,61,1,0.0161,27,0.4355,27,0.4355,44,0.7097,47,5,9,0,0
IVF 等辅助生殖治疗是否应获得更多公共支持？,165,164,1,0.0061,26,0.1576,26,0.1576,54,0.3273,92,29,43,0,0
是否应扩大心理健康服务可及性？,54,51,3,0.0556,22,0.4074,22,0.4074,31,0.5741,42,9,0,0,0
平台是否应承担更严格的儿童网络安全保护责任？,73,72,1,0.0137,20,0.274,20,0.274,38,0.5205,69,2,0,0,1
演唱会和体育赛事门票是否应强制显示全价？,45,43,2,0.0444,16,0.3556,16,0.3556,24,0.5333,32,4,0,0,7
是否应扩大儿童税收抵免或改成按月发放？,59,57,2,0.0339,14,0.2373,14,0.2373,33,0.5593,32,25,0,0,0
枪支遗失或被盗后是否应强制上报？,50,49,1,0.02,13,0.26,13,0.26,30,0.6,33,12,3,0,1
政府是否应补贴儿童照护费用？,53,53,0,0.0,12,0.2264,12,0.2264,25,0.4717,41,8,4,0,0
是否应延续低收入家庭宽带补贴？,59,57,2,0.0339,10,0.1695,10,0.1695,28,0.4746,45,11,1,0,0
气候变化是否应作为公共健康问题治理？,14,14,0,0.0,6,0.4286,6,0.4286,13,0.9286,9,5,0,0,0
是否应要求更严格的枪支安全存储？,10,10,0,0.0,5,0.5,5,0.5,9,0.9,8,2,0,0,0
是否应继续补贴 EV 充电基础设施？,26,24,2,0.0769,4,0.1538,4,0.1538,13,0.5,18,6,0,0,0
