topic,row_count,llm_keep_count,llm_keep_rate,has_stance_count,has_stance_rate,medium_high_discussion_count,medium_high_discussion_rate,strongly_relevant_count,relevant_count,weak_keyword_match_count,off_topic_count,insufficient_context_count
政府是否应保护堕胎服务的可及性？,155,86,0.5548,86,0.5548,139,0.8968,127,18,0,0,2
是否应提高联邦最低工资？,123,73,0.5935,73,0.5935,105,0.8537,94,25,0,0,0
是否应提供带薪家庭假和育儿假？,193,67,0.3472,67,0.3472,140,0.7254,137,49,0,0,0
是否应加强警察问责并限制 qualified immunity？,138,60,0.4348,60,0.4348,104,0.7536,93,26,5,0,0
大学生是否应更容易获得 SNAP 食品援助？,183,57,0.3115,57,0.3115,119,0.6503,113,42,18,0,3
是否应扩大免费学校餐？,118,55,0.4661,55,0.4661,95,0.8051,76,35,0,0,1
美国是否应扩大可负担住房供给？,135,52,0.3852,52,0.3852,100,0.7407,90,37,0,0,1
是否应恢复或强化网络中立性规则？,112,50,0.4464,50,0.4464,77,0.6875,90,12,3,0,1
美国是否应加强移民执法和庇护限制？,106,50,0.4717,50,0.4717,84,0.7925,86,9,0,0,0
小费收入是否应免税？,72,47,0.6528,47,0.6528,66,0.9167,66,5,0,0,0
医疗债务是否不应影响个人信用记录？,123,46,0.374,46,0.374,94,0.7642,88,30,1,0,0
美国是否应征收或避免征收碳税？,108,46,0.4259,46,0.4259,88,0.8148,66,36,0,0,0
是否应延续或扩大医保保费补贴？,105,44,0.419,44,0.419,87,0.8286,75,24,1,0,1
美国是否应扩大液化天然气 LNG 出口？,117,41,0.3504,41,0.3504,86,0.735,58,54,1,0,2
政府是否应补贴家庭净水设备以应对 PFAS 等污染？,169,40,0.2367,40,0.2367,99,0.5858,110,32,16,0,1
美国是否应对芬太尼采取更严格管制和刑事打击？,87,40,0.4598,40,0.4598,65,0.7471,66,11,6,0,0
高校是否应为高学费和学生债务承担更多责任？,89,40,0.4494,40,0.4494,67,0.7528,59,18,1,0,1
信用卡滞纳金是否应被限制？,70,39,0.5571,39,0.5571,56,0.8,55,6,1,0,0
避孕服务是否应免除自付费用？,83,37,0.4458,37,0.4458,59,0.7108,54,19,7,0,0
数据经纪商是否应被禁止出售敏感个人数据？,110,36,0.3273,36,0.3273,64,0.5818,75,16,10,0,2
美国是否应加强边境技术和监控？,110,36,0.3273,36,0.3273,70,0.6364,79,11,18,0,0
AI 语音诈骗是否应强制披露或限制？,134,33,0.2463,33,0.2463,63,0.4701,77,7,42,0,0
IVF 等辅助生殖治疗是否应获得更多公共支持？,167,30,0.1796,30,0.1796,56,0.3353,92,20,46,0,0
政府是否应进一步压低处方药价格？,97,30,0.3093,30,0.3093,79,0.8144,68,19,3,0,0
是否应扩大心理健康服务可及性？,55,28,0.5091,28,0.5091,43,0.7818,46,7,0,0,0
平台是否应强制移除非自愿 AI 伪造私密影像？,74,27,0.3649,27,0.3649,59,0.7973,62,4,3,0,0
跨性别运动员是否应参加女子体育项目？,60,27,0.45,27,0.45,50,0.8333,50,3,6,0,0
平台是否应承担更严格的儿童网络安全保护责任？,73,24,0.3288,24,0.3288,36,0.4932,61,4,0,0,1
政府是否应扩大纳洛酮等阿片过量急救药的获取？,146,24,0.1644,24,0.1644,99,0.6781,85,52,1,0,0
演唱会和体育赛事门票是否应强制显示全价？,43,19,0.4419,19,0.4419,22,0.5116,28,1,1,0,10
政府是否应补贴儿童照护费用？,53,13,0.2453,13,0.2453,42,0.7925,31,18,2,0,0
是否应扩大儿童税收抵免或改成按月发放？,59,13,0.2203,13,0.2203,27,0.4576,34,18,0,0,0
枪支遗失或被盗后是否应强制上报？,50,8,0.16,8,0.16,24,0.48,38,2,4,0,0
气候变化是否应作为公共健康问题治理？,15,7,0.4667,7,0.4667,13,0.8667,9,4,0,0,0
是否应延续低收入家庭宽带补贴？,59,6,0.1017,6,0.1017,29,0.4915,38,8,3,0,2
是否应继续补贴 EV 充电基础设施？,26,6,0.2308,6,0.2308,21,0.8077,22,4,0,0,0
是否应要求更严格的枪支安全存储？,10,2,0.2,2,0.2,5,0.5,5,3,0,0,0
