topic,row_count,success_count,error_count,error_rate,llm_keep_count,llm_keep_rate,has_stance_count,has_stance_rate,medium_high_discussion_count,medium_high_discussion_rate,strongly_relevant_count,relevant_count,weak_keyword_match_count,off_topic_count,insufficient_context_count
政府是否应保护堕胎服务的可及性？,155,152,3,0.0194,96,0.6194,96,0.6194,142,0.9161,128,23,0,0,1
是否应提供带薪家庭假和育儿假？,194,192,2,0.0103,79,0.4072,79,0.4072,149,0.768,146,42,1,0,3
是否应提高联邦最低工资？,121,119,2,0.0165,73,0.6033,73,0.6033,109,0.9008,95,24,0,0,0
是否应加强警察问责并限制 qualified immunity？,139,137,2,0.0144,64,0.4604,64,0.4604,118,0.8489,118,19,0,0,0
是否应扩大免费学校餐？,119,117,2,0.0168,61,0.5126,61,0.5126,103,0.8655,89,28,0,0,0
美国是否应扩大可负担住房供给？,134,132,2,0.0149,60,0.4478,60,0.4478,107,0.7985,88,44,0,0,0
大学生是否应更容易获得 SNAP 食品援助？,184,183,1,0.0054,59,0.3207,59,0.3207,135,0.7337,107,58,15,0,3
是否应恢复或强化网络中立性规则？,112,110,2,0.0179,51,0.4554,51,0.4554,80,0.7143,97,8,3,0,2
是否应延续或扩大医保保费补贴？,107,104,3,0.028,51,0.4766,51,0.4766,89,0.8318,85,15,4,0,0
美国是否应加强移民执法和庇护限制？,106,98,8,0.0755,51,0.4811,51,0.4811,92,0.8679,80,17,0,0,1
医疗债务是否不应影响个人信用记录？,122,119,3,0.0246,47,0.3852,47,0.3852,96,0.7869,93,26,0,0,0
小费收入是否应免税？,71,68,3,0.0423,47,0.662,47,0.662,65,0.9155,62,6,0,0,0
美国是否应征收或避免征收碳税？,109,105,4,0.0367,44,0.4037,44,0.4037,83,0.7615,68,36,1,0,0
避孕服务是否应免除自付费用？,81,79,2,0.0247,41,0.5062,41,0.5062,61,0.7531,55,18,6,0,0
信用卡滞纳金是否应被限制？,71,71,0,0.0,38,0.5352,38,0.5352,60,0.8451,56,13,2,0,0
数据经纪商是否应被禁止出售敏感个人数据？,110,107,3,0.0273,38,0.3455,38,0.3455,72,0.6545,76,15,16,0,0
美国是否应扩大液化天然气 LNG 出口？,116,113,3,0.0259,37,0.319,37,0.319,85,0.7328,69,41,1,0,2
美国是否应对芬太尼采取更严格管制和刑事打击？,87,87,0,0.0,36,0.4138,36,0.4138,68,0.7816,69,12,6,0,0
高校是否应为高学费和学生债务承担更多责任？,93,91,2,0.0215,36,0.3871,36,0.3871,77,0.828,61,29,0,0,1
AI 语音诈骗是否应强制披露或限制？,134,133,1,0.0075,35,0.2612,35,0.2612,60,0.4478,71,2,60,0,0
美国是否应加强边境技术和监控？,107,104,3,0.028,35,0.3271,35,0.3271,77,0.7196,79,12,12,0,1
政府是否应进一步压低处方药价格？,99,98,1,0.0101,33,0.3333,33,0.3333,82,0.8283,71,26,1,0,0
政府是否应补贴家庭净水设备以应对 PFAS 等污染？,166,163,3,0.0181,33,0.1988,34,0.2048,99,0.5964,117,29,16,0,1
IVF 等辅助生殖治疗是否应获得更多公共支持？,169,166,3,0.0178,31,0.1834,32,0.1893,58,0.3432,97,17,52,0,0
跨性别运动员是否应参加女子体育项目？,60,58,2,0.0333,30,0.5,30,0.5,48,0.8,50,4,4,0,0
平台是否应承担更严格的儿童网络安全保护责任？,74,74,0,0.0,29,0.3919,29,0.3919,41,0.5541,65,4,0,0,5
演唱会和体育赛事门票是否应强制显示全价？,46,46,0,0.0,28,0.6087,28,0.6087,32,0.6957,37,4,0,0,5
平台是否应强制移除非自愿 AI 伪造私密影像？,73,70,3,0.0411,26,0.3562,26,0.3562,58,0.7945,63,3,4,0,0
政府是否应扩大纳洛酮等阿片过量急救药的获取？,143,141,2,0.014,24,0.1678,24,0.1678,88,0.6154,81,55,5,0,0
是否应扩大儿童税收抵免或改成按月发放？,63,61,2,0.0317,24,0.381,24,0.381,43,0.6825,39,22,0,0,0
是否应扩大心理健康服务可及性？,53,53,0,0.0,23,0.434,23,0.434,43,0.8113,41,12,0,0,0
政府是否应补贴儿童照护费用？,53,52,1,0.0189,16,0.3019,17,0.3208,35,0.6604,33,15,3,0,1
枪支遗失或被盗后是否应强制上报？,51,50,1,0.0196,16,0.3137,16,0.3137,37,0.7255,39,6,5,0,0
是否应继续补贴 EV 充电基础设施？,26,25,1,0.0385,8,0.3077,8,0.3077,19,0.7308,18,6,0,0,1
是否应延续低收入家庭宽带补贴？,57,52,5,0.0877,5,0.0877,5,0.0877,26,0.4561,39,8,3,0,2
气候变化是否应作为公共健康问题治理？,13,13,0,0.0,5,0.3846,5,0.3846,13,1.0,8,5,0,0,0
是否应要求更严格的枪支安全存储？,9,8,1,0.1111,3,0.3333,3,0.3333,8,0.8889,3,5,0,0,0
