topic,row_count,success_count,error_count,error_rate,llm_keep_count,llm_keep_rate,has_stance_count,has_stance_rate,medium_high_discussion_count,medium_high_discussion_rate,strongly_relevant_count,relevant_count,weak_keyword_match_count,off_topic_count,insufficient_context_count
政府是否应保护堕胎服务的可及性？,156,152,4,0.0256,87,0.5577,87,0.5577,138,0.8846,121,30,0,0,1
是否应提供带薪家庭假和育儿假？,194,189,5,0.0258,83,0.4278,83,0.4278,143,0.7371,150,37,0,0,2
是否应加强警察问责并限制 qualified immunity？,139,133,6,0.0432,64,0.4604,64,0.4604,106,0.7626,107,23,3,0,0
是否应提高联邦最低工资？,120,120,0,0.0,64,0.5333,64,0.5333,108,0.9,92,28,0,0,0
大学生是否应更容易获得 SNAP 食品援助？,180,175,5,0.0278,63,0.35,63,0.35,131,0.7278,113,39,19,0,4
是否应恢复或强化网络中立性规则？,113,112,1,0.0088,61,0.5398,61,0.5398,80,0.708,96,12,1,0,3
医疗债务是否不应影响个人信用记录？,122,120,2,0.0164,55,0.4508,55,0.4508,94,0.7705,98,21,1,0,0
是否应扩大免费学校餐？,118,116,2,0.0169,55,0.4661,55,0.4661,99,0.839,92,24,0,0,0
小费收入是否应免税？,73,73,0,0.0,49,0.6712,49,0.6712,72,0.9863,66,7,0,0,0
美国是否应加强移民执法和庇护限制？,105,99,6,0.0571,49,0.4667,49,0.4667,91,0.8667,78,21,0,0,0
是否应延续或扩大医保保费补贴？,106,103,3,0.0283,47,0.4434,47,0.4434,90,0.8491,79,23,1,0,0
美国是否应征收或避免征收碳税？,109,109,0,0.0,46,0.422,46,0.422,92,0.844,67,42,0,0,0
美国是否应扩大可负担住房供给？,135,131,4,0.0296,45,0.3333,45,0.3333,96,0.7111,81,50,0,0,0
高校是否应为高学费和学生债务承担更多责任？,90,88,2,0.0222,44,0.4889,44,0.4889,72,0.8,65,23,0,0,0
美国是否应扩大液化天然气 LNG 出口？,116,113,3,0.0259,42,0.3621,42,0.3621,77,0.6638,66,47,0,0,0
信用卡滞纳金是否应被限制？,71,70,1,0.0141,42,0.5915,42,0.5915,61,0.8592,60,8,2,0,0
美国是否应对芬太尼采取更严格管制和刑事打击？,86,83,3,0.0349,41,0.4767,41,0.4767,72,0.8372,70,9,4,0,0
AI 语音诈骗是否应强制披露或限制？,134,134,0,0.0,39,0.291,39,0.291,58,0.4328,73,2,59,0,0
美国是否应加强边境技术和监控？,111,111,0,0.0,38,0.3423,38,0.3423,81,0.7297,79,16,16,0,0
数据经纪商是否应被禁止出售敏感个人数据？,113,112,1,0.0088,36,0.3186,36,0.3186,71,0.6283,76,24,12,0,0
避孕服务是否应免除自付费用？,85,83,2,0.0235,35,0.4118,35,0.4118,67,0.7882,54,21,7,0,1
政府是否应进一步压低处方药价格？,96,94,2,0.0208,34,0.3542,34,0.3542,75,0.7812,72,18,4,0,0
IVF 等辅助生殖治疗是否应获得更多公共支持？,168,167,1,0.006,33,0.1964,34,0.2024,68,0.4048,96,23,48,0,0
政府是否应扩大纳洛酮等阿片过量急救药的获取？,143,140,3,0.021,33,0.2308,33,0.2308,103,0.7203,93,46,0,0,1
平台是否应强制移除非自愿 AI 伪造私密影像？,76,74,2,0.0263,32,0.4211,32,0.4211,62,0.8158,66,3,5,0,0
政府是否应补贴家庭净水设备以应对 PFAS 等污染？,167,165,2,0.012,29,0.1737,29,0.1737,92,0.5509,112,35,18,0,0
跨性别运动员是否应参加女子体育项目？,59,58,1,0.0169,27,0.4576,27,0.4576,45,0.7627,44,10,4,0,0
平台是否应承担更严格的儿童网络安全保护责任？,73,73,0,0.0,23,0.3151,24,0.3288,40,0.5479,60,9,0,0,4
是否应扩大心理健康服务可及性？,52,50,2,0.0385,22,0.4231,22,0.4231,41,0.7885,40,10,0,0,0
演唱会和体育赛事门票是否应强制显示全价？,43,40,3,0.0698,18,0.4186,18,0.4186,22,0.5116,26,4,0,0,10
是否应延续低收入家庭宽带补贴？,56,55,1,0.0179,18,0.3214,18,0.3214,29,0.5179,44,9,2,0,0
政府是否应补贴儿童照护费用？,53,53,0,0.0,17,0.3208,18,0.3396,31,0.5849,35,10,8,0,0
是否应扩大儿童税收抵免或改成按月发放？,65,63,2,0.0308,17,0.2615,17,0.2615,34,0.5231,39,24,0,0,0
是否应继续补贴 EV 充电基础设施？,27,27,0,0.0,9,0.3333,9,0.3333,21,0.7778,22,5,0,0,0
枪支遗失或被盗后是否应强制上报？,50,49,1,0.02,8,0.16,8,0.16,26,0.52,35,8,6,0,0
气候变化是否应作为公共健康问题治理？,15,15,0,0.0,4,0.2667,4,0.2667,14,0.9333,9,6,0,0,0
是否应要求更严格的枪支安全存储？,8,8,0,0.0,2,0.25,2,0.25,6,0.75,2,5,1,0,0
