topic,row_count,success_count,error_count,error_rate,llm_keep_count,llm_keep_rate,has_stance_count,has_stance_rate,medium_high_discussion_count,medium_high_discussion_rate,strongly_relevant_count,relevant_count,weak_keyword_match_count,off_topic_count,insufficient_context_count
政府是否应保护堕胎服务的可及性？,156,150,6,0.0385,87,0.5577,87,0.5577,137,0.8782,117,30,1,0,2
是否应提供带薪家庭假和育儿假？,191,182,9,0.0471,76,0.3979,76,0.3979,126,0.6597,147,33,1,0,1
是否应提高联邦最低工资？,122,120,2,0.0164,72,0.5902,72,0.5902,112,0.918,91,29,0,0,0
是否应加强警察问责并限制 qualified immunity？,139,133,6,0.0432,64,0.4604,64,0.4604,115,0.8273,114,18,1,0,0
医疗债务是否不应影响个人信用记录？,124,121,3,0.0242,59,0.4758,60,0.4839,94,0.7581,93,24,4,0,0
美国是否应扩大可负担住房供给？,134,132,2,0.0149,58,0.4328,58,0.4328,109,0.8134,84,48,0,0,0
是否应扩大免费学校餐？,118,117,1,0.0085,56,0.4746,56,0.4746,98,0.8305,91,24,0,0,2
美国是否应加强移民执法和庇护限制？,106,97,9,0.0849,54,0.5094,54,0.5094,91,0.8585,85,12,0,0,0
美国是否应征收或避免征收碳税？,113,110,3,0.0265,53,0.469,53,0.469,92,0.8142,70,39,1,0,0
是否应恢复或强化网络中立性规则？,113,105,8,0.0708,52,0.4602,52,0.4602,80,0.708,90,11,1,0,3
大学生是否应更容易获得 SNAP 食品援助？,181,177,4,0.0221,51,0.2818,51,0.2818,125,0.6906,110,52,15,0,0
是否应延续或扩大医保保费补贴？,105,101,4,0.0381,46,0.4381,46,0.4381,91,0.8667,85,15,0,0,1
小费收入是否应免税？,71,69,2,0.0282,44,0.6197,44,0.6197,66,0.9296,61,8,0,0,0
美国是否应扩大液化天然气 LNG 出口？,116,112,4,0.0345,42,0.3621,42,0.3621,85,0.7328,64,46,0,0,2
高校是否应为高学费和学生债务承担更多责任？,90,87,3,0.0333,42,0.4667,42,0.4667,73,0.8111,67,18,1,0,1
信用卡滞纳金是否应被限制？,68,67,1,0.0147,39,0.5735,39,0.5735,61,0.8971,57,8,2,0,0
政府是否应扩大纳洛酮等阿片过量急救药的获取？,144,137,7,0.0486,39,0.2708,39,0.2708,94,0.6528,88,43,6,0,0
美国是否应对芬太尼采取更严格管制和刑事打击？,87,87,0,0.0,39,0.4483,39,0.4483,73,0.8391,74,10,3,0,0
IVF 等辅助生殖治疗是否应获得更多公共支持？,167,164,3,0.018,38,0.2275,38,0.2275,68,0.4072,93,17,54,0,0
避孕服务是否应免除自付费用？,83,83,0,0.0,38,0.4578,38,0.4578,62,0.747,54,19,10,0,0
数据经纪商是否应被禁止出售敏感个人数据？,110,109,1,0.0091,37,0.3364,37,0.3364,74,0.6727,80,17,12,0,0
政府是否应进一步压低处方药价格？,96,96,0,0.0,36,0.375,36,0.375,85,0.8854,74,16,6,0,0
AI 语音诈骗是否应强制披露或限制？,135,130,5,0.037,34,0.2519,34,0.2519,56,0.4148,73,1,56,0,0
政府是否应补贴家庭净水设备以应对 PFAS 等污染？,168,159,9,0.0536,34,0.2024,34,0.2024,90,0.5357,117,20,21,0,1
美国是否应加强边境技术和监控？,110,106,4,0.0364,30,0.2727,30,0.2727,76,0.6909,70,18,18,0,0
跨性别运动员是否应参加女子体育项目？,61,57,4,0.0656,29,0.4754,29,0.4754,47,0.7705,50,2,5,0,0
演唱会和体育赛事门票是否应强制显示全价？,45,44,1,0.0222,29,0.6444,29,0.6444,33,0.7333,34,3,0,0,7
平台是否应强制移除非自愿 AI 伪造私密影像？,76,71,5,0.0658,27,0.3553,27,0.3553,61,0.8026,64,4,3,0,0
是否应扩大心理健康服务可及性？,53,51,2,0.0377,26,0.4906,26,0.4906,43,0.8113,44,7,0,0,0
是否应扩大儿童税收抵免或改成按月发放？,65,64,1,0.0154,19,0.2923,19,0.2923,41,0.6308,42,22,0,0,0
平台是否应承担更严格的儿童网络安全保护责任？,73,70,3,0.0411,19,0.2603,20,0.274,33,0.4521,64,3,0,0,3
政府是否应补贴儿童照护费用？,52,51,1,0.0192,18,0.3462,18,0.3462,40,0.7692,39,9,3,0,0
枪支遗失或被盗后是否应强制上报？,50,50,0,0.0,13,0.26,13,0.26,27,0.54,36,8,5,0,1
是否应延续低收入家庭宽带补贴？,57,56,1,0.0175,10,0.1754,10,0.1754,28,0.4912,38,15,2,0,1
是否应继续补贴 EV 充电基础设施？,26,25,1,0.0385,9,0.3462,9,0.3462,16,0.6154,22,2,0,0,1
气候变化是否应作为公共健康问题治理？,15,13,2,0.1333,4,0.2667,4,0.2667,10,0.6667,9,4,0,0,0
是否应要求更严格的枪支安全存储？,8,8,0,0.0,3,0.375,3,0.375,7,0.875,6,2,0,0,0
